中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,1 ms,1664 Mbps,212992 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,38 ms,540 Mbps,69120 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,10 ms,1696 Mbps,217088 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,86 ms,43 Mbps,5577 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,5 ms,719 Mbps,92057 kB/s
129.146.7.98,443,2a09:bac5:60ec:1846::26b:b4,US,Los Angeles,隧道,60 ms,72 Mbps,9332 kB/s
35.230.79.26,443,35.212.143.193,US,Seattle,隧道,82 ms,332 Mbps,42598 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,6 ms,60 Mbps,7722 kB/s
35.197.23.75,443,35.212.143.193,US,Seattle,隧道,70 ms,373 Mbps,47820 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,363 Mbps,46489 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,81 ms,255 Mbps,32665 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,16 ms,64 Mbps,8295 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,247 Mbps,31641 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,92 ms,45 Mbps,5794 kB/s
34.82.76.253,443,34.168.189.228,US,Seattle,隧道,73 ms,378 Mbps,48435 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,85 ms,312 Mbps,39936 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,220 Mbps,28262 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,250 Mbps,32051 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,227 Mbps,29081 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,100 ms,293 Mbps,37580 kB/s
143.47.176.251,443,2606:f240:f00:83a7:0:2adf:b8c2:720e,US,Frankfurt,隧道,95 ms,214 Mbps,27443 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,83 ms,234 Mbps,30003 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,112 ms,2 Mbps,330 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,86 ms,35 Mbps,4547 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,84 ms,43 Mbps,5595 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,71 ms,213 Mbps,27340 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,110 ms,39 Mbps,4995 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,130 Mbps,16691 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,177 ms,45 Mbps,5822 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,189 ms,44 Mbps,5691 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,167 ms,45 Mbps,5849 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,179 ms,38 Mbps,4984 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,182 ms,159 Mbps,20377 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,201 ms,81 Mbps,10444 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,187 ms,38 Mbps,4943 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,221 ms,33 Mbps,4248 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,230 ms,28 Mbps,3662 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,197 ms,85 Mbps,10956 kB/s
130.162.144.191,443,2a09:bac1:3f40::299:3a,KR,Seoul,隧道,231 ms,31 Mbps,4057 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,194 ms,35 Mbps,4574 kB/s
129.154.197.32,443,107.151.176.202,US,Los Angeles,隧道,220 ms,65 Mbps,8431 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,240 ms,2 Mbps,269 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,247 ms,30 Mbps,3904 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,187 ms,137 Mbps,17612 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,229 ms,80 Mbps,10240 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,248 ms,29 Mbps,3773 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,251 ms,43 Mbps,5508 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,269 ms,3 Mbps,507 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,243 ms,21 Mbps,2698 kB/s
193.123.80.245,443,193.123.80.245,AE,Warsaw,中转,223 ms,33 Mbps,4271 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,227 ms,0 Mbps,15 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,326 ms,0 Mbps,15 kB/s
