中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,774 Mbps,99123 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,3 Mbps,429 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,366 Mbps,46899 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,72 ms,307 Mbps,39321 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,69 ms,232 Mbps,29696 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,418 Mbps,53555 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,288 Mbps,36864 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,70 ms,360 Mbps,46182 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,72 ms,232 Mbps,29798 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,223 Mbps,28569 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,275 Mbps,35225 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,227 Mbps,29081 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,97 ms,42 Mbps,5443 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,105 ms,43 Mbps,5514 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,96 ms,44 Mbps,5688 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,179 ms,118 Mbps,15155 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,39 Mbps,5060 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,126 Mbps,16179 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,169 ms,42 Mbps,5475 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,211 ms,39 Mbps,5063 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,230 ms,23 Mbps,2952 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,227 ms,34 Mbps,4423 kB/s
