中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,15 ms,816 Mbps,104448 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,962 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,334 Mbps,42803 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,375 Mbps,48025 kB/s
35.230.79.26,443,35.212.172.135,US,Seattle,隧道,70 ms,376 Mbps,48230 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,313 Mbps,40140 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,69 ms,404 Mbps,51712 kB/s
35.197.23.75,443,35.212.172.135,US,Seattle,隧道,68 ms,374 Mbps,47923 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,59 ms,387 Mbps,49561 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,91 ms,307 Mbps,39321 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,73 ms,321 Mbps,41164 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,90 ms,46 Mbps,5943 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,88 ms,229 Mbps,29388 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,236 Mbps,30310 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,42 Mbps,5483 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,107 Mbps,13721 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,32 Mbps,4144 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,166 ms,33 Mbps,4341 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,173 ms,44 Mbps,5644 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,172 ms,142 Mbps,18227 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,195 ms,34 Mbps,4444 kB/s
8.219.97.136,443,47.236.1.53,SG,Singapore,隧道,234 ms,67 Mbps,8598 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,198 ms,66 Mbps,8511 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,237 ms,0 Mbps,44 kB/s
