中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,4 ms,1360 Mbps,174080 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,2 ms,46 Mbps,5945 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,2 ms,1688 Mbps,216064 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,717 Mbps,91852 kB/s
129.146.7.98,443,2a09:bac5:60e9:1173::1bd:11a,US,Los Angeles,隧道,58 ms,5 Mbps,766 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,197 Mbps,25292 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,94 ms,347 Mbps,44441 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,66 ms,320 Mbps,40960 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,88 ms,184 Mbps,23552 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,74 ms,256 Mbps,32870 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,72 ms,355 Mbps,45465 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,69 ms,381 Mbps,48844 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,414 Mbps,53043 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,268 Mbps,34406 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,68 ms,396 Mbps,50790 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,298 Mbps,38195 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,240 Mbps,30720 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,94 ms,237 Mbps,30412 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,3 Mbps,414 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,82 ms,248 Mbps,31744 kB/s
141.144.204.181,443,2a0b:21c0:100a:1b7:0:340e:ef0d:34c8,DE,Frankfurt,隧道,94 ms,225 Mbps,28876 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,102 ms,46 Mbps,5992 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,183 ms,39 Mbps,5065 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,169 ms,118 Mbps,15155 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,165 ms,0 Mbps,48 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,182 ms,40 Mbps,5146 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,183 ms,34 Mbps,4460 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,216 ms,35 Mbps,4489 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,202 ms,75 Mbps,9657 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,225 ms,23 Mbps,2947 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:9aca:acc0:c40f,SG,Singapore,隧道,241 ms,53 Mbps,6856 kB/s
131.186.22.251,443,130.162.140.114,KR,Seoul,隧道,202 ms,79 Mbps,10137 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,211 ms,32 Mbps,4156 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,217 ms,36 Mbps,4708 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,248 ms,25 Mbps,3271 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,249 ms,0 Mbps,108 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,272 ms,0 Mbps,14 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,224 ms,2 Mbps,382 kB/s
