中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,46 ms,214 Mbps,27443 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,30 ms,568 Mbps,72806 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,34 ms,577 Mbps,73932 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,35 ms,673 Mbps,86220 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,34 ms,505 Mbps,64716 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,53 ms,48 Mbps,6206 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,47 ms,349 Mbps,44748 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,35 ms,685 Mbps,87756 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,51 ms,6 Mbps,879 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,27 ms,739 Mbps,94617 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,40 ms,362 Mbps,46387 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,126 ms,44 Mbps,5639 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,118 ms,193 Mbps,24780 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,153 ms,170 Mbps,21811 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,142 Mbps,18227 kB/s
152.70.62.177,443,2606:f240:f00:83a7:0:55d6:733b:1212,DE,Frankfurt,隧道,136 ms,138 Mbps,17715 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,137 ms,41 Mbps,5345 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,130 ms,168 Mbps,21606 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,135 ms,40 Mbps,5203 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,139 ms,143 Mbps,18329 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,182 ms,38 Mbps,4953 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,148 ms,42 Mbps,5377 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,167 ms,40 Mbps,5175 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,173 ms,48 Mbps,6249 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,179 ms,0 Mbps,48 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,165 ms,126 Mbps,16179 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,207 ms,39 Mbps,5115 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,137 ms,44 Mbps,5660 kB/s
