中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,27 ms,6 Mbps,839 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,9 ms,796 Mbps,101990 kB/s
35.230.79.26,443,35.212.140.104,US,Seattle,隧道,50 ms,442 Mbps,56627 kB/s
34.82.76.253,443,34.182.31.213,US,Seattle,隧道,47 ms,528 Mbps,67584 kB/s
129.146.46.164,443,129.146.46.164,22 Mbps,2871 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,352 Mbps,45158 kB/s
35.197.23.75,443,35.212.140.104,US,Seattle,隧道,53 ms,476 Mbps,61030 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,58 ms,391 Mbps,50073 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,418 Mbps,53555 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,53 ms,521 Mbps,66764 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,58 ms,415 Mbps,53145 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,64 ms,444 Mbps,56934 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,192 Mbps,24576 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,236 Mbps,30208 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,107 ms,45 Mbps,5767 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,188 Mbps,24064 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,140 Mbps,17920 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,156 ms,41 Mbps,5284 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,114 ms,43 Mbps,5515 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,173 ms,40 Mbps,5242 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,158 ms,136 Mbps,17408 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,149 ms,39 Mbps,5059 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,160 ms,38 Mbps,4955 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,198 ms,11 Mbps,1455 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,36 Mbps,4727 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,224 ms,37 Mbps,4777 kB/s
