中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,5 ms,1336 Mbps,171008 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,5 ms,1312 Mbps,167936 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,38 ms,688 Mbps,88166 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,257 Mbps,32972 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,59 ms,328 Mbps,42086 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,233 Mbps,29900 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,73 ms,208 Mbps,26726 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,66 ms,292 Mbps,37478 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,84 ms,227 Mbps,29081 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,75 ms,283 Mbps,36249 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,81 ms,352 Mbps,45056 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,73 ms,352 Mbps,45158 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,301 Mbps,38604 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,105 ms,248 Mbps,31846 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,50 Mbps,6428 kB/s
141.147.60.82,443,2a0b:21c0:1007:c7:0:6671:1aad:518,DE,Frankfurt,隧道,90 ms,269 Mbps,34508 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,101 ms,232 Mbps,29798 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,98 ms,46 Mbps,5985 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,114 Mbps,14643 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,182 ms,41 Mbps,5338 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,171 ms,41 Mbps,5344 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,175 ms,41 Mbps,5275 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,171 ms,2 Mbps,379 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,187 ms,81 Mbps,10444 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,212 ms,9 Mbps,1183 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,220 ms,32 Mbps,4121 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,1 Mbps,229 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,222 ms,63 Mbps,8080 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,240 ms,2 Mbps,310 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,236 ms,40 Mbps,5190 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,256 ms,9 Mbps,1202 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,207 ms,33 Mbps,4344 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,224 ms,0 Mbps,78 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,255 Mbps,32665 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,1236 ms,0 Mbps,96 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,347 ms,0 Mbps,13 kB/s
