中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,726 Mbps,92979 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,6 ms,1624 Mbps,207872 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,3 ms,1720 Mbps,220160 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,67 ms,352 Mbps,45056 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,220 Mbps,28262 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,288 Mbps,36966 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,65 ms,322 Mbps,41267 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,70 ms,278 Mbps,35635 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,371 Mbps,47513 kB/s
141.148.244.95,443,2a0b:21c0:100a:1b6:0:6e0c:32c7:4466,DE,Frankfurt,隧道,88 ms,230 Mbps,29491 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,272 Mbps,34816 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,87 ms,44 Mbps,5707 kB/s
143.47.176.251,443,2a0b:21c0:100a:1b4:0:e627:4415:2a71,DE,Frankfurt,隧道,92 ms,238 Mbps,30515 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,88 ms,256 Mbps,32768 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,102 ms,283 Mbps,36249 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,253 Mbps,32460 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,96 ms,47 Mbps,6124 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,237 Mbps,30412 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,44 Mbps,5674 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,172 ms,118 Mbps,15155 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,181 ms,0 Mbps,45 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,179 ms,125 Mbps,16076 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,205 ms,36 Mbps,4640 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,235 ms,0 Mbps,78 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,229 ms,32 Mbps,4096 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,258 ms,2 Mbps,261 kB/s
8.219.95.212,443,47.84.40.188,SG,Singapore,隧道,275 ms,55 Mbps,7093 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,226 ms,0 Mbps,3 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,238 ms,0 Mbps,74 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,218 ms,36 Mbps,4616 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,180 ms,0 Mbps,13 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,1119 ms,256 Mbps,32870 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,229 ms,1 Mbps,184 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,173 ms,14 Mbps,1903 kB/s
