中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,28 ms,619 Mbps,79257 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,55 ms,472 Mbps,60518 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,48 ms,414 Mbps,53043 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,45 ms,440 Mbps,56320 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,67 ms,364 Mbps,46694 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,505 Mbps,64716 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,120 ms,211 Mbps,27033 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,62 ms,465 Mbps,59596 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,57 ms,0 Mbps,104 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,344 Mbps,44032 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,124 ms,39 Mbps,5073 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,121 ms,174 Mbps,22323 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,137 ms,166 Mbps,21299 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,139 ms,147 Mbps,18841 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,133 ms,40 Mbps,5160 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,140 ms,39 Mbps,5002 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,136 ms,38 Mbps,4870 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,152 ms,41 Mbps,5361 kB/s
143.47.182.90,443,163.123.193.3,DE,Frankfurt,隧道,149 ms,88 Mbps,11366 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,133 ms,36 Mbps,4655 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,170 ms,47 Mbps,6125 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,215 ms,41 Mbps,5363 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,194 ms,1 Mbps,163 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,231 ms,73 Mbps,9359 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,169 ms,38 Mbps,4984 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,208 ms,27 Mbps,3521 kB/s
