中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,17 ms,1656 Mbps,211968 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,14 ms,920 Mbps,117760 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,22 ms,904 Mbps,115712 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,7 ms,1656 Mbps,211968 kB/s
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,28 ms,936 Mbps,119808 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,2272 Mbps,290816 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,680 Mbps,87040 kB/s
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,27 ms,944 Mbps,120832 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,75 ms,7 Mbps,917 kB/s
129.146.209.97,443,129.146.209.97,US,Phoenix,中转,23 ms,243 Mbps,31129 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,323 Mbps,41369 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,238 Mbps,30515 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,49 Mbps,6353 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,113 ms,48 Mbps,6234 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,130 ms,49 Mbps,6338 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,176 ms,133 Mbps,17100 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,138 ms,49 Mbps,6284 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,114 Mbps,14643 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,176 ms,38 Mbps,4885 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,165 ms,160 Mbps,20480 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,155 ms,44 Mbps,5708 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,181 ms,32 Mbps,4141 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,161 ms,39 Mbps,5098 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,139 ms,40 Mbps,5217 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,254 ms,2 Mbps,282 kB/s
