中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,555 Mbps,71065 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,50 ms,428 Mbps,54784 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,510 Mbps,65331 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,24 ms,2 Mbps,284 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,52 ms,513 Mbps,65740 kB/s
129.146.46.164,443,129.146.46.164,301 Mbps,38604 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,401 Mbps,51404 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,533 Mbps,68300 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,135 ms,181 Mbps,23244 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,142 ms,44 Mbps,5665 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,115 ms,45 Mbps,5772 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,188 Mbps,24064 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,115 ms,47 Mbps,6109 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,127 ms,198 Mbps,25395 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,144 ms,44 Mbps,5696 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,148 Mbps,19046 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,164 ms,42 Mbps,5386 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,130 ms,41 Mbps,5366 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,205 ms,20 Mbps,2623 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,206 ms,67 Mbps,8628 kB/s
