中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,604 Mbps,77312 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,24 ms,7 Mbps,918 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,513 Mbps,65740 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,48 ms,484 Mbps,62054 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,388 Mbps,49664 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,53 ms,420 Mbps,53760 kB/s
35.197.23.75,443,35.212.181.70,US,Seattle,隧道,50 ms,525 Mbps,67276 kB/s
35.230.79.26,443,35.212.181.70,US,Seattle,隧道,52 ms,364 Mbps,46694 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,285 Mbps,36556 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,121 ms,175 Mbps,22425 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,118 ms,196 Mbps,25190 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,115 ms,42 Mbps,5422 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,123 ms,156 Mbps,20070 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,132 ms,43 Mbps,5544 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,143 ms,41 Mbps,5342 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,133 ms,1 Mbps,166 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,142 ms,40 Mbps,5154 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,126 ms,42 Mbps,5474 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,167 ms,38 Mbps,4894 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,197 ms,2 Mbps,257 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,212 ms,67 Mbps,8607 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,252 ms,8 Mbps,1074 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,198 ms,3 Mbps,452 kB/s
