中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,22 ms,1080 Mbps,138240 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,28 ms,816 Mbps,104448 kB/s
129.146.46.164,443,129.146.46.164,US,357 Mbps,45772 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,40 ms,808 Mbps,103424 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,11 ms,904 Mbps,115712 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,616 Mbps,78950 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,28 ms,808 Mbps,103424 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,73 ms,327 Mbps,41881 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,312 Mbps,39936 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,76 ms,6 Mbps,782 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,76 ms,48 Mbps,6203 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,114 ms,195 Mbps,24985 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,113 ms,46 Mbps,5915 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,113 ms,43 Mbps,5551 kB/s
8.222.156.205,443,8.219.69.217,SG,Singapore,隧道,172 ms,73 Mbps,9378 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,115 ms,44 Mbps,5719 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,168 ms,112 Mbps,14438 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,168 ms,112 Mbps,14438 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,165 ms,134 Mbps,17203 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,147 ms,41 Mbps,5265 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,154 ms,32 Mbps,4106 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,184 ms,34 Mbps,4440 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,163 ms,15 Mbps,1935 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,198 ms,53 Mbps,6868 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,162 ms,41 Mbps,5361 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,140 ms,0 Mbps,48 kB/s
130.162.36.198,443,2606:f240:f00:b2ed:0:4385:b4a4:7472,US,Salt Lake City,隧道,160 ms,87 Mbps,11161 kB/s
