中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1736 Mbps,222208 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,21 ms,55 Mbps,7087 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,6 ms,415 Mbps,53145 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,353 Mbps,45260 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,10 ms,747 Mbps,95641 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,5 ms,672 Mbps,86016 kB/s
35.197.23.75,443,35.212.217.120,US,Seattle,隧道,27 ms,80 Mbps,10240 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,596 Mbps,76288 kB/s
35.230.79.26,443,35.212.217.120,US,Seattle,隧道,26 ms,864 Mbps,110592 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,66 ms,398 Mbps,50995 kB/s
129.159.84.71,443,129.159.84.71,US,Miami,中转,80 ms,6 Mbps,877 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,205 Mbps,26316 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,115 ms,42 Mbps,5495 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,113 ms,50 Mbps,6482 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,132 ms,49 Mbps,6337 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,165 ms,15 Mbps,1967 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,159 ms,36 Mbps,4630 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,135 Mbps,17305 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,184 ms,41 Mbps,5304 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,163 ms,128 Mbps,16384 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,150 Mbps,19251 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,157 ms,42 Mbps,5384 kB/s
