中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,20 ms,496 Mbps,63590 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,20 ms,992 Mbps,126976 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,62 ms,605 Mbps,77516 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,39 ms,540 Mbps,69222 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,17 ms,832 Mbps,106496 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,17 ms,458 Mbps,58675 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,40 ms,511 Mbps,65433 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,73 ms,588 Mbps,75366 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,62 ms,385 Mbps,49356 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,56 ms,456 Mbps,58470 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,53 ms,455 Mbps,58265 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,190 Mbps,24371 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,153 ms,132 Mbps,16896 kB/s
131.186.33.175,443,131.186.33.175,JP,Osaka,中转,111 ms,4 Mbps,604 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,43 Mbps,5618 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,187 ms,2 Mbps,377 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,126 ms,42 Mbps,5404 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,116 ms,39 Mbps,5102 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,165 ms,41 Mbps,5251 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,154 ms,136 Mbps,17510 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,147 ms,143 Mbps,18329 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,150 ms,47 Mbps,6105 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,180 Mbps,23142 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,167 ms,144 Mbps,18534 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,121 ms,46 Mbps,6004 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,172 ms,46 Mbps,5894 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,142 ms,30 Mbps,3963 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,143 ms,0 Mbps,109 kB/s
158.101.130.149,443,2602:ffe4:407:20da:0:8169:f91b:a497,SG,Singapore,隧道,207 ms,75 Mbps,9650 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,145 ms,117 Mbps,15052 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,173 ms,39 Mbps,5108 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,160 ms,7 Mbps,934 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,178 ms,0 Mbps,48 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,395 ms,0 Mbps,8 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,175 ms,0 Mbps,106 kB/s
