中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,2 ms,652 Mbps,83456 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,10 ms,1680 Mbps,215040 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,13 ms,848 Mbps,108544 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,40 ms,654 Mbps,83763 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,29 ms,824 Mbps,105472 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,23 ms,608 Mbps,77824 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,50 ms,382 Mbps,48947 kB/s
129.146.46.164,443,129.146.46.164,344 Mbps,44032 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,74 ms,300 Mbps,38502 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,81 ms,289 Mbps,37068 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,116 ms,204 Mbps,26112 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,86 ms,43 Mbps,5570 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,65 ms,313 Mbps,40140 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,121 ms,34 Mbps,4462 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,105 ms,2 Mbps,333 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,120 ms,41 Mbps,5256 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,134 Mbps,17203 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,116 Mbps,14848 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,109 Mbps,14028 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,143 ms,48 Mbps,6220 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,49 Mbps,6349 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,155 ms,152 Mbps,19456 kB/s
143.47.252.60,443,2a0b:21c0:1007:c7:0:a7c2:89bf:1f13,DE,Frankfurt,隧道,175 ms,75 Mbps,9621 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,172 ms,128 Mbps,16486 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,181 ms,102 Mbps,13107 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,179 ms,46 Mbps,5949 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,163 ms,42 Mbps,5430 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,191 ms,40 Mbps,5144 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,187 ms,45 Mbps,5823 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,170 ms,3 Mbps,396 kB/s
8.219.86.116,443,47.84.40.188,SG,Singapore,隧道,275 ms,32 Mbps,4218 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,186 ms,0 Mbps,1 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,160 ms,0 Mbps,11 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,317 ms,0 Mbps,12 kB/s
