中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,26 ms,411 Mbps,52633 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,494 Mbps,63283 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,25 ms,70 Mbps,9036 kB/s
129.146.46.164,443,129.146.46.164,299 Mbps,38297 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,48 ms,551 Mbps,70553 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,52 ms,422 Mbps,54067 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,431 Mbps,55193 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,53 ms,322 Mbps,41267 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,50 ms,518 Mbps,66355 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,67 ms,256 Mbps,32870 kB/s
141.144.198.61,443,2606:f240:f00:83a7:0:b900:851a:b2ee,DE,Frankfurt,隧道,122 ms,157 Mbps,20172 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,114 ms,46 Mbps,5893 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,132 ms,170 Mbps,21811 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,125 ms,160 Mbps,20582 kB/s
184.169.181.217,443,184.169.181.217,US,London,中转,49 ms,147 Mbps,18841 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,130 ms,191 Mbps,24473 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,142 ms,39 Mbps,5002 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,128 ms,45 Mbps,5787 kB/s
3.112.21.102,443,3.112.21.102,JP,Osaka,中转,149 ms,145 Mbps,18636 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,141 ms,42 Mbps,5417 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,203 ms,38 Mbps,4869 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,121 ms,39 Mbps,5091 kB/s
129.159.84.71,443,129.159.84.71,US,Paris,中转,84 ms,0 Mbps,95 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,167 ms,7 Mbps,1002 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,193 ms,35 Mbps,4607 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,202 ms,31 Mbps,4073 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,171 ms,43 Mbps,5615 kB/s
