中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,9 ms,725 Mbps,92876 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,50 ms,572 Mbps,73216 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,326 Mbps,41779 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,50 ms,523 Mbps,66969 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,55 ms,403 Mbps,51609 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,62 ms,380 Mbps,48742 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,51 ms,544 Mbps,69734 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,56 ms,484 Mbps,61952 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,404 Mbps,51814 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,67 ms,524 Mbps,67072 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,103 ms,46 Mbps,5962 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,121 ms,198 Mbps,25395 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,80 ms,0 Mbps,61 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,120 ms,241 Mbps,30924 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,124 ms,185 Mbps,23756 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,110 ms,44 Mbps,5672 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,141 ms,43 Mbps,5600 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,165 ms,44 Mbps,5662 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,163 ms,41 Mbps,5303 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,152 ms,151 Mbps,19353 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,202 ms,9 Mbps,1167 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,198 ms,42 Mbps,5385 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,208 ms,37 Mbps,4799 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,192 ms,33 Mbps,4248 kB/s
