中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,469 Mbps,60108 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,104 Mbps,13414 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,68 ms,404 Mbps,51814 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,70 ms,378 Mbps,48435 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,69 ms,354 Mbps,45363 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,266 Mbps,34099 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,221 Mbps,28364 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,266 Mbps,34099 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,74 ms,317 Mbps,40652 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,203 Mbps,26009 kB/s
184.169.181.217,443,184.169.181.217,US,Ashburn,中转,68 ms,239 Mbps,30617 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,82 ms,45 Mbps,5879 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,97 ms,44 Mbps,5659 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,100 ms,49 Mbps,6367 kB/s
129.146.46.164,443,129.146.46.164,US,Portland,中转,135 ms,190 Mbps,24371 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,117 Mbps,15052 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,169 ms,28 Mbps,3653 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,175 ms,31 Mbps,3988 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,174 ms,41 Mbps,5320 kB/s
129.146.209.97,443,129.146.209.97,US,Amsterdam,中转,57 ms,362 Mbps,46387 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,202 ms,33 Mbps,4347 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,37 Mbps,4860 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,220 ms,31 Mbps,4029 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,106 ms,0 Mbps,47 kB/s
168.138.46.67,443,168.138.46.67,JP,Singapore,中转,185 ms,40 Mbps,5220 kB/s
146.56.162.25,443,146.56.162.25,KR,Hong Kong,中转,266 ms,1 Mbps,231 kB/s
168.138.165.174,443,168.138.165.174,SG,Milan,中转,241 ms,16 Mbps,2158 kB/s
