中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,66 Mbps,8507 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,11 ms,687 Mbps,87961 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,7 Mbps,956 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,52 ms,326 Mbps,41779 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,48 ms,411 Mbps,52633 kB/s
34.82.76.253,443,34.105.52.138,US,Seattle,隧道,50 ms,444 Mbps,56832 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,57 ms,327 Mbps,41881 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,49 ms,404 Mbps,51712 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,52 ms,327 Mbps,41881 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,168 Mbps,21504 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,428 Mbps,54886 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,306 Mbps,39219 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,111 ms,236 Mbps,30310 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,103 ms,48 Mbps,6145 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,115 ms,194 Mbps,24883 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,120 ms,47 Mbps,6141 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,150 ms,41 Mbps,5265 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,152 ms,44 Mbps,5710 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,141 ms,147 Mbps,18841 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,115 ms,46 Mbps,5960 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,160 ms,43 Mbps,5559 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,192 ms,38 Mbps,4929 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,206 ms,38 Mbps,4867 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,215 ms,32 Mbps,4137 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,212 ms,33 Mbps,4240 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,232 ms,42 Mbps,5490 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,208 ms,0 Mbps,78 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,204 ms,0 Mbps,16 kB/s
