中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,15 ms,60 Mbps,7693 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,21 ms,1048 Mbps,134144 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,17 ms,435 Mbps,55705 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,98 ms,196 Mbps,25190 kB/s
35.230.79.26,443,35.212.162.172,US,Seattle,隧道,50 ms,352 Mbps,45158 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,23 ms,1024 Mbps,131072 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,17 ms,44 Mbps,5703 kB/s
34.82.76.253,443,34.168.231.76,US,Seattle,隧道,49 ms,404 Mbps,51712 kB/s
35.197.23.75,443,35.212.162.172,US,Seattle,隧道,52 ms,308 Mbps,39526 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,104 ms,43 Mbps,5616 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,358 Mbps,45875 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,84 ms,474 Mbps,60723 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,114 ms,199 Mbps,25497 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,50 ms,447 Mbps,57241 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,118 ms,243 Mbps,31129 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,47 Mbps,6083 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,128 ms,45 Mbps,5833 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,192 Mbps,24576 kB/s
143.47.252.60,443,98.98.156.6,DE,Frankfurt,隧道,113 ms,172 Mbps,22016 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,113 ms,42 Mbps,5407 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,147 ms,135 Mbps,17305 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,146 ms,40 Mbps,5183 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,157 ms,34 Mbps,4468 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,151 ms,147 Mbps,18841 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,157 ms,38 Mbps,4949 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,160 ms,2 Mbps,350 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,195 ms,43 Mbps,5574 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,195 ms,107 Mbps,13721 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,188 ms,28 Mbps,3597 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,116 ms,44 Mbps,5684 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,218 ms,38 Mbps,4888 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,328 kB/s
146.56.146.67,443,2602:ffe4:407:20da:0:2c42:f3ac:c99d,SG,Singapore,隧道,265 ms,61 Mbps,7901 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,227 ms,4 Mbps,513 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,205 ms,33 Mbps,4262 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,195 ms,0 Mbps,47 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,161 ms,0 Mbps,28 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,197 ms,0 Mbps,5 kB/s
