中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.237.223,US,Seattle,隧道,26 ms,1016 Mbps,130048 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,920 Mbps,117760 kB/s
35.230.79.26,443,35.212.237.223,US,Seattle,隧道,23 ms,1016 Mbps,130048 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,2128 Mbps,272384 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,328 Mbps,42086 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,684 Mbps,87552 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,1 ms,451 Mbps,57753 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,24 ms,984 Mbps,125952 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,25 ms,453 Mbps,58060 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,68 ms,4 Mbps,553 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,236 Mbps,30310 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,121 ms,42 Mbps,5416 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,42 Mbps,5479 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,43 Mbps,5546 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,163 ms,110 Mbps,14131 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,159 ms,39 Mbps,5091 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,163 ms,115 Mbps,14745 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,158 ms,41 Mbps,5316 kB/s
141.144.201.185,443,2606:f240:f00:a683:0:38a7:22cb:c5e,DE,Frankfurt,隧道,171 ms,105 Mbps,13516 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,160 ms,120 Mbps,15462 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,163 ms,36 Mbps,4626 kB/s
