中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.103.203,443,43.153.103.203,US,San Jose,中转,36 ms,1112 Mbps,142336 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,25 ms,824 Mbps,105472 kB/s
35.230.79.26,443,35.212.233.117,US,Seattle,隧道,43 ms,543 Mbps,69529 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,20 ms,572 Mbps,73318 kB/s
35.197.23.75,443,35.212.233.117,US,Seattle,隧道,40 ms,581 Mbps,74444 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,18 ms,816 Mbps,104448 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,761 Mbps,97484 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,40 ms,515 Mbps,65945 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,53 ms,240 Mbps,30822 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,57 ms,428 Mbps,54886 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,59 ms,47 Mbps,6107 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,67 ms,330 Mbps,42291 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,79 ms,459 Mbps,58777 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,181 Mbps,23244 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,152 ms,127 Mbps,16281 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,41 Mbps,5258 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,166 ms,34 Mbps,4422 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,137 ms,164 Mbps,20992 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,182 Mbps,23347 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,4 Mbps,607 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,150 ms,130 Mbps,16691 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,139 ms,14 Mbps,1895 kB/s
143.47.176.251,443,2606:f240:f00:a683:0:9bbe:e3c2:8d6,DE,Frankfurt,隧道,144 ms,101 Mbps,13004 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,146 ms,46 Mbps,5947 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,31 Mbps,3968 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,139 ms,131 Mbps,16793 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,147 ms,23 Mbps,2948 kB/s
8.219.52.156,443,8.219.69.217,SG,Singapore,隧道,181 ms,16 Mbps,2052 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,176 ms,40 Mbps,5141 kB/s
158.101.130.149,443,2602:ffe4:407:20d9:0:c08:9740:8831,SG,Singapore,隧道,193 ms,104 Mbps,13312 kB/s
8.219.120.2,443,47.236.1.53,SG,Singapore,隧道,204 ms,62 Mbps,8005 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,190 ms,2 Mbps,377 kB/s
158.180.95.219,443,2602:ffe4:407:20da:0:8302:28ed:7058,SG,Singapore,隧道,210 ms,74 Mbps,9579 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,139 ms,38 Mbps,4908 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,0 ms,0 Mbps,7 kB/s
