中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,15 ms,1752 Mbps,224256 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,35 ms,371 Mbps,47513 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,8 ms,532 Mbps,68096 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,18 ms,499 Mbps,63897 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,21 ms,984 Mbps,125952 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,628 Mbps,80384 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,772 Mbps,98918 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,25 ms,824 Mbps,105472 kB/s
34.82.76.253,443,34.127.34.227,US,Seattle,隧道,25 ms,920 Mbps,117760 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,62 ms,6 Mbps,889 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,67 ms,359 Mbps,45977 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,76 ms,48 Mbps,6183 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,112 ms,240 Mbps,30822 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,20 Mbps,2674 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,47 Mbps,6023 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,158 ms,43 Mbps,5546 kB/s
18.132.97.154,443,18.132.97.154,GB,London,中转,155 ms,124 Mbps,15872 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,152 ms,44 Mbps,5759 kB/s
150.230.7.216,443,150.230.7.216,JP,Hong Kong,中转,123 ms,49 Mbps,6289 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,160 ms,46 Mbps,5917 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,168 ms,146 Mbps,18739 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,174 ms,41 Mbps,5355 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,164 ms,44 Mbps,5643 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,116 Mbps,14848 kB/s
168.138.212.80,443,168.138.212.80,JP,Hong Kong,中转,106 ms,34 Mbps,4365 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,159 ms,114 Mbps,14643 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,195 ms,36 Mbps,4614 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,159 ms,37 Mbps,4862 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,168 ms,0 Mbps,8 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,28 ms,256 Mbps,32870 kB/s
