中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,20 ms,460 Mbps,58982 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,672 Mbps,86016 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,1576 Mbps,201728 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,29 ms,904 Mbps,115712 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,4 ms,912 Mbps,116736 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,32 ms,904 Mbps,115712 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,70 ms,44 Mbps,5705 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,29 ms,896 Mbps,114688 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,23 ms,444 Mbps,56832 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,313 Mbps,40140 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,94 ms,0 Mbps,127 kB/s
150.230.63.93,443,150.230.63.93,JP,Hong Kong,中转,116 ms,50 Mbps,6402 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,216 Mbps,27750 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,44 Mbps,5752 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,134 ms,45 Mbps,5793 kB/s
150.230.7.216,443,150.230.7.216,JP,Hong Kong,中转,113 ms,46 Mbps,5911 kB/s
64.110.101.125,443,64.110.101.125,JP,Hong Kong,中转,126 ms,216 Mbps,27750 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,169 ms,35 Mbps,4532 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,115 ms,47 Mbps,6109 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,186 ms,10 Mbps,1299 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,163 ms,43 Mbps,5631 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,157 ms,14 Mbps,1904 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,168 ms,0 Mbps,17 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,188 ms,40 Mbps,5163 kB/s
168.138.212.80,443,168.138.212.80,JP,Hong Kong,中转,115 ms,45 Mbps,5771 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,162 ms,127 Mbps,16281 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,162 ms,43 Mbps,5601 kB/s
158.180.74.63,443,128.14.110.206,SG,Singapore,隧道,188 ms,79 Mbps,10137 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,155 ms,145 Mbps,18636 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,147 ms,20 Mbps,2685 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,156 ms,46 Mbps,5933 kB/s
