中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,24 ms,762 Mbps,97587 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,12 ms,6 Mbps,864 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,370 Mbps,47411 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,72 ms,359 Mbps,45977 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,436 Mbps,55808 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,88 ms,296 Mbps,37990 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,89 ms,263 Mbps,33689 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,64 ms,365 Mbps,46796 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,299 Mbps,38297 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,60 ms,353 Mbps,45260 kB/s
143.47.176.251,443,2606:f240:f00:b2ed:0:ad70:1b03:d9b3,US,Munich,隧道,93 ms,261 Mbps,33484 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,240 Mbps,30720 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,47 Mbps,6142 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,45 Mbps,5818 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,172 ms,36 Mbps,4650 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,164 ms,116 Mbps,14848 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,171 ms,39 Mbps,5115 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,38 Mbps,4928 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,170 ms,38 Mbps,4981 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,198 ms,37 Mbps,4787 kB/s
8.219.179.34,443,47.245.114.12,SG,Singapore,隧道,224 ms,42 Mbps,5478 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,11 Mbps,1499 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,93 ms,42 Mbps,5415 kB/s
