中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,27 ms,680 Mbps,87040 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,4 ms,888 Mbps,113664 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,21 ms,742 Mbps,95027 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,29 ms,560 Mbps,71680 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,21 ms,976 Mbps,124928 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,60 ms,371 Mbps,47513 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,153 Mbps,19660 kB/s
168.138.46.67,443,168.138.46.67,JP,Tokyo,中转,112 ms,24 Mbps,3086 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,152 ms,115 Mbps,14745 kB/s
184.169.181.217,443,184.169.181.217,US,Melbourne,中转,3 ms,106 Mbps,13619 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,168 ms,130 Mbps,16691 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,152 ms,37 Mbps,4836 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,145 ms,37 Mbps,4763 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,112 Mbps,14336 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,161 ms,39 Mbps,5021 kB/s
141.147.117.4,443,2606:f240:f00:5a42:0:ed74:179f:b2c9,DE,Frankfurt,隧道,155 ms,117 Mbps,15052 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,151 ms,38 Mbps,4881 kB/s
131.186.17.132,443,131.186.17.132,KR,Tokyo,中转,131 ms,40 Mbps,5135 kB/s
64.110.104.30,443,64.110.104.30,JP,Singapore,中转,114 ms,46 Mbps,5966 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,177 ms,40 Mbps,5149 kB/s
129.146.46.164,443,129.146.46.164,US,London,中转,173 ms,79 Mbps,10137 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,161 ms,41 Mbps,5368 kB/s
150.230.63.93,443,150.230.63.93,JP,Paris,中转,112 ms,22 Mbps,2833 kB/s
158.180.89.154,443,2602:ffe4:407:20d9:0:400:b01e:bdf0,SG,Zurich,隧道,195 ms,67 Mbps,8600 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,1160 ms,0 Mbps,1 kB/s
129.159.84.71,443,129.159.84.71,US,Riga,中转,0 ms,1 Mbps,135 kB/s
