中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,6 Mbps,847 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,6 ms,76 Mbps,9728 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,601 Mbps,77004 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,61 ms,353 Mbps,45260 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,69 ms,230 Mbps,29491 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,92 ms,296 Mbps,37990 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,375 Mbps,48025 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,54 ms,401 Mbps,51404 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,72 ms,376 Mbps,48128 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,68 ms,347 Mbps,44441 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,291 Mbps,37273 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,224 Mbps,28774 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,101 ms,216 Mbps,27648 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,90 ms,43 Mbps,5611 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,46 Mbps,5935 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,87 ms,47 Mbps,6040 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,160 ms,114 Mbps,14643 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,170 ms,39 Mbps,5033 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,36 Mbps,4624 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,206 ms,34 Mbps,4456 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,206 ms,34 Mbps,4385 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,15 Mbps,2039 kB/s
8.219.79.212,443,47.236.51.143,SG,Singapore,隧道,234 ms,56 Mbps,7219 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,259 ms,35 Mbps,4520 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,64 ms,302 Mbps,38707 kB/s
