中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.151.84,US,Seattle,隧道,38 ms,580 Mbps,74342 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,17 ms,74 Mbps,9584 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,848 Mbps,108544 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,275 Mbps,35225 kB/s
34.82.76.253,443,34.127.98.139,US,Seattle,隧道,47 ms,505 Mbps,64716 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,18 ms,636 Mbps,81510 kB/s
35.230.79.26,443,35.212.151.84,US,Seattle,隧道,42 ms,603 Mbps,77209 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,67 ms,383 Mbps,49049 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,24 ms,1064 Mbps,136192 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,57 ms,46 Mbps,5956 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,516 Mbps,66150 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,30 ms,273 Mbps,35020 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,67 ms,492 Mbps,63078 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,82 ms,50 Mbps,6497 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,153 ms,128 Mbps,16486 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,116 ms,202 Mbps,25907 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,123 ms,200 Mbps,25600 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,144 ms,39 Mbps,5098 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,124 Mbps,15872 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,113 ms,45 Mbps,5875 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,113 ms,167 Mbps,21401 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,44 Mbps,5755 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,123 Mbps,15769 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,153 ms,178 Mbps,22835 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,140 ms,13 Mbps,1753 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,176 ms,2 Mbps,378 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,152 ms,122 Mbps,15667 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,146 ms,40 Mbps,5242 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,152 ms,138 Mbps,17715 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,160 ms,46 Mbps,5945 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,153 ms,47 Mbps,6072 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:110,KR,Seoul,隧道,138 ms,135 Mbps,17305 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,148 ms,43 Mbps,5550 kB/s
130.162.144.191,443,2a09:bac5:4733:1482::20b:7a,KR,Seoul,隧道,169 ms,43 Mbps,5601 kB/s
143.47.183.201,443,2a0b:21c0:1007:c8:0:2c8b:1631:6a87,DE,Frankfurt,隧道,174 ms,123 Mbps,15769 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,145 ms,47 Mbps,6129 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,153 ms,44 Mbps,5746 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,138 ms,27 Mbps,3575 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,173 ms,2 Mbps,284 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,238 ms,58 Mbps,7527 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,160 ms,23 Mbps,2979 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,276 ms,41 Mbps,5352 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,201 ms,3 Mbps,489 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,293 ms,0 Mbps,16 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,164 ms,0 Mbps,18 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,230 ms,23 Mbps,2998 kB/s
