中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,59 ms,328 Mbps,42086 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,41 ms,528 Mbps,67686 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,578 Mbps,74035 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,23 ms,56 Mbps,7272 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,48 ms,464 Mbps,59392 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,53 ms,567 Mbps,72601 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,489 Mbps,62668 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,51 ms,442 Mbps,56627 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,28 ms,7 Mbps,923 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,65 ms,248 Mbps,31744 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,53 ms,460 Mbps,58880 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,413 Mbps,52940 kB/s
34.82.76.253,443,34.127.34.227,US,Seattle,隧道,55 ms,496 Mbps,63488 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,132 ms,49 Mbps,6398 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,119 ms,216 Mbps,27648 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,176 Mbps,22528 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,217 ms,66 Mbps,8545 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,159 Mbps,20377 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,126 ms,49 Mbps,6280 kB/s
143.47.176.251,443,163.123.193.24,DE,Frankfurt,隧道,111 ms,199 Mbps,25497 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,122 ms,187 Mbps,23961 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,147 ms,36 Mbps,4673 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,183 ms,39 Mbps,5077 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,168 ms,43 Mbps,5583 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,198 ms,39 Mbps,5002 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,125 ms,47 Mbps,6047 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,204 ms,33 Mbps,4259 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,196 ms,10 Mbps,1286 kB/s
152.70.242.38,443,2602:ffe4:407:20da:0:8bbd:51e7:868,SG,Singapore,隧道,234 ms,56 Mbps,7240 kB/s
