中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,704 Mbps,90214 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,58 ms,336 Mbps,43110 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,69 ms,332 Mbps,42496 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,252 Mbps,32256 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,370 Mbps,47411 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,303 Mbps,38809 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,89 ms,47 Mbps,6038 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,292 Mbps,37376 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,58 ms,483 Mbps,61849 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,91 ms,336 Mbps,43110 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,68 ms,366 Mbps,46899 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,50 Mbps,6427 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,90 ms,44 Mbps,5756 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,152 ms,127 Mbps,16281 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,168 ms,8 Mbps,1063 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,171 ms,130 Mbps,16691 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,191 ms,29 Mbps,3787 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,175 ms,32 Mbps,4130 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,216 ms,12 Mbps,1618 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,202 ms,36 Mbps,4711 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,229 ms,3 Mbps,422 kB/s
150.230.217.106,443,2602:ffe4:407:20da:0:d4ea:ab53:f61a,SG,Singapore,隧道,323 ms,1 Mbps,221 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,138 ms,0 Mbps,34 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,275 ms,25 Mbps,3325 kB/s
64.110.75.145,443,64.110.75.145,KR,Osaka,中转,200 ms,64 Mbps,8228 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,123 Mbps,15769 kB/s
