中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,5 ms,7 Mbps,925 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,789 Mbps,101068 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,60 ms,442 Mbps,56627 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,395 Mbps,50585 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,69 ms,368 Mbps,47104 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,306 Mbps,39219 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,63 ms,9 Mbps,1189 kB/s
34.82.76.253,443,34.168.69.6,US,Seattle,隧道,69 ms,384 Mbps,49152 kB/s
35.197.23.75,443,35.212.241.9,US,Seattle,隧道,75 ms,364 Mbps,46694 kB/s
35.230.79.26,443,35.212.241.9,US,Seattle,隧道,69 ms,383 Mbps,49049 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,96 ms,44 Mbps,5644 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,45 Mbps,5800 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,45 Mbps,5823 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,159 ms,115 Mbps,14745 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,170 ms,38 Mbps,4870 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,171 ms,30 Mbps,3866 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,175 ms,44 Mbps,5646 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,162 ms,42 Mbps,5445 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,186 ms,132 Mbps,16998 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,207 ms,39 Mbps,5084 kB/s
168.138.185.234,443,168.138.185.234,SG,Tokyo,中转,247 ms,55 Mbps,7157 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,205 ms,84 Mbps,10854 kB/s
8.219.1.169,443,8.219.1.169,SG,Hong Kong,中转,228 ms,3 Mbps,489 kB/s
168.138.165.174,443,168.138.165.174,SG,Tokyo,中转,1258 ms,23 Mbps,2997 kB/s
