中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.19.99.159,US,Seattle,隧道,24 ms,644 Mbps,82432 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,23 ms,445 Mbps,57036 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,4 ms,920 Mbps,117760 kB/s
129.146.7.98,443,2a09:bac5:60eb:1846::26b:b4,US,Los Angeles,隧道,25 ms,99 Mbps,12697 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,21 ms,664 Mbps,84992 kB/s
35.197.23.75,443,35.212.133.201,US,Seattle,隧道,32 ms,562 Mbps,71987 kB/s
35.230.79.26,443,35.212.133.201,US,Seattle,隧道,24 ms,832 Mbps,106496 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,63 ms,395 Mbps,50585 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,62 ms,4 Mbps,555 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,112 ms,47 Mbps,6070 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,70 ms,43 Mbps,5519 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,215 Mbps,27545 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,77 ms,296 Mbps,37888 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,73 ms,320 Mbps,40960 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,72 ms,44 Mbps,5696 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,133 ms,132 Mbps,16998 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,147 ms,43 Mbps,5576 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,156 ms,41 Mbps,5293 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,123 ms,5 Mbps,650 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,126 ms,42 Mbps,5426 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,161 ms,111 Mbps,14233 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,128 ms,23 Mbps,3033 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,151 ms,149 Mbps,19148 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,155 ms,18 Mbps,2339 kB/s
130.162.144.191,443,2a09:bac5:4733:1482::20b:5e,KR,Seoul,隧道,142 ms,23 Mbps,2961 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,153 ms,38 Mbps,4919 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,152 ms,44 Mbps,5675 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,166 ms,137 Mbps,17612 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,147 ms,1 Mbps,242 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,193 ms,135 Mbps,17305 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,162 ms,40 Mbps,5170 kB/s
146.56.38.114,443,107.151.176.66,US,Los Angeles,隧道,164 ms,105 Mbps,13516 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,195 ms,31 Mbps,4058 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,182 ms,25 Mbps,3325 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,167 ms,42 Mbps,5431 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,178 ms,111 Mbps,14233 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,170 ms,38 Mbps,4895 kB/s
141.147.98.27,443,2a0b:21c0:1007:1c8:0:629e:9f48:38a1,DE,Frankfurt,隧道,161 ms,66 Mbps,8480 kB/s
8.222.199.55,443,47.84.41.244,SG,Singapore,隧道,191 ms,42 Mbps,5392 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,166 ms,3 Mbps,469 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,233 ms,56 Mbps,7267 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,169 ms,2 Mbps,284 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,139 ms,11 Mbps,1411 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1035 ms,312 Mbps,39936 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,273 ms,25 Mbps,3286 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,331 ms,0 Mbps,14 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,154 ms,39 Mbps,5009 kB/s
