中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,25 ms,7 Mbps,969 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,26 ms,38 Mbps,4906 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,20 ms,750 Mbps,96051 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,40 ms,488 Mbps,62566 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,60 ms,391 Mbps,50073 kB/s
35.197.23.75,443,35.212.226.106,US,Seattle,隧道,52 ms,435 Mbps,55705 kB/s
129.146.7.98,443,129.146.7.98,US,Chicago,中转,51 ms,302 Mbps,38707 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,53 ms,484 Mbps,62054 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,65 ms,320 Mbps,40960 kB/s
35.230.79.26,443,35.212.226.106,US,Seattle,隧道,51 ms,467 Mbps,59801 kB/s
141.147.117.4,443,2606:f240:f00:2be4:0:4c70:396a:295a,DE,Frankfurt,隧道,116 ms,136 Mbps,17408 kB/s
141.148.224.54,443,2606:f240:f00:b2ed:0:e112:9f9c:a47,DE,Frankfurt,隧道,116 ms,100 Mbps,12800 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,124 ms,157 Mbps,20172 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,126 ms,172 Mbps,22118 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,122 ms,49 Mbps,6274 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,112 ms,48 Mbps,6241 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,135 ms,185 Mbps,23756 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,132 ms,171 Mbps,21913 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,144 ms,46 Mbps,5984 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,146 ms,45 Mbps,5844 kB/s
184.169.181.217,443,184.169.181.217,US,Paris,中转,49 ms,124 Mbps,15974 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,181 ms,43 Mbps,5531 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,190 ms,43 Mbps,5532 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,211 ms,41 Mbps,5269 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,215 ms,36 Mbps,4650 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,136 ms,48 Mbps,6267 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,197 ms,0 Mbps,12 kB/s
168.138.212.80,443,168.138.212.80,JP,Newark,中转,144 ms,34 Mbps,4413 kB/s
64.110.101.125,443,64.110.101.125,JP,Paris,中转,157 ms,164 Mbps,20992 kB/s
64.110.75.145,443,64.110.75.145,KR,Denver,中转,191 ms,100 Mbps,12800 kB/s
