中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,45 ms,334 Mbps,42803 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,35 ms,540 Mbps,69222 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,26 ms,872 Mbps,111616 kB/s
35.197.23.75,443,35.212.217.120,US,Seattle,隧道,36 ms,662 Mbps,84787 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,24 ms,734 Mbps,94003 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,34 ms,713 Mbps,91340 kB/s
35.230.79.26,443,35.212.217.120,US,Seattle,隧道,37 ms,629 Mbps,80588 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,508 Mbps,65126 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,37 ms,452 Mbps,57856 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,28 ms,864 Mbps,110592 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,46 ms,4 Mbps,520 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,39 ms,559 Mbps,71577 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,123 ms,44 Mbps,5682 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,137 ms,159 Mbps,20377 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,141 ms,158 Mbps,20275 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,126 ms,44 Mbps,5656 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,121 ms,192 Mbps,24678 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,131 ms,162 Mbps,20787 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,135 ms,43 Mbps,5630 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,178 ms,13 Mbps,1681 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,181 ms,39 Mbps,4999 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,212 ms,40 Mbps,5128 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,131 ms,38 Mbps,4930 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,1169 ms,12 Mbps,1581 kB/s
