中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.176.58,US,Seattle,隧道,24 ms,744 Mbps,95232 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,647 Mbps,82841 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,13 ms,1504 Mbps,192512 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,24 ms,904 Mbps,115712 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,23 ms,2416 Mbps,309248 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,18 ms,2072 Mbps,265216 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,12 ms,896 Mbps,114688 kB/s
35.230.79.26,443,35.212.176.58,US,Seattle,隧道,21 ms,1032 Mbps,132096 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,20 ms,467 Mbps,59801 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,400 Mbps,51302 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,73 ms,5 Mbps,692 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,330 Mbps,42291 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,42 Mbps,5465 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,209 Mbps,26828 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,138 ms,51 Mbps,6557 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,117 ms,236 Mbps,30208 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,49 Mbps,6394 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,139 Mbps,17817 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,157 ms,36 Mbps,4733 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,171 ms,137 Mbps,17612 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,168 ms,127 Mbps,16281 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,154 ms,46 Mbps,5999 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,178 ms,4 Mbps,577 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,134 ms,39 Mbps,5078 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,159 ms,43 Mbps,5578 kB/s
