中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,880 Mbps,112640 kB/s
34.82.76.253,443,34.187.190.53,US,Seattle,隧道,20 ms,976 Mbps,124928 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,34 ms,350 Mbps,44851 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,30 ms,415 Mbps,53145 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,5 ms,1232 Mbps,157696 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,27 ms,1016 Mbps,130048 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,22 ms,936 Mbps,119808 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,662 Mbps,84787 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,36 ms,300 Mbps,38400 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,72 ms,140 Mbps,18022 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,70 ms,49 Mbps,6277 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,75 ms,7 Mbps,971 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,191 Mbps,24473 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,45 Mbps,5794 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,141 ms,42 Mbps,5424 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,160 ms,42 Mbps,5487 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,174 ms,143 Mbps,18329 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,131 ms,42 Mbps,5435 kB/s
158.178.154.78,443,158.178.154.78,NL,Amsterdam,中转,145 ms,107 Mbps,13721 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,179 ms,116 Mbps,14848 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,110 Mbps,14131 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,120 ms,41 Mbps,5285 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,163 ms,38 Mbps,4900 kB/s
152.70.55.39,443,2606:f240:f00:2be4:0:3216:60cc:e68f,US,Frankfurt,隧道,174 ms,100 Mbps,12902 kB/s
132.226.134.15,443,163.123.193.7,DE,Frankfurt,隧道,160 ms,124 Mbps,15872 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,160 ms,34 Mbps,4464 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,186 ms,35 Mbps,4539 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,163 ms,45 Mbps,5855 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,154 ms,0 Mbps,11 kB/s
